Restaurant Name,Location
Deccan House,Financial District
North India Restaurant,Financial District
North India Restaurant,South Beach
Trisara,Financial District
Raavi,Union Square
Curry Up Now Food Truck,Financial District
Chaat Corner,Union Square
Rose Indian Cuisine,Financial District
Raavi,Financial District
Rose Indian Cuisine,Mission Bay
Star India Restaurant,SoMa
Delhi Xpress,North Beach/Telegraph Hill
Tiffin,SoMa
Indian Tikka Paradise,SoMa
Indian Chop House,Mission Bay
The Nacho Dispensary,SoMa
Gunpowder Cafe,Civic Center
Mehfil Indian Cuisine,Financial District
Momo King,Financial District
Shalimar,SoMa
MOMOlicious,Tenderloin
Momo’s & More,Union Square
Arabian Nights Restaurant,San Francisco
Diya,Fisherman's Wharf
SPICE OF INDIA,Civic Center
Damn Dosa,Tenderloin
Tandoori Mahal,SoMa
New Delhi Restaurant,SoMa
Rose Indian Cuisine,SoMa
Panj Tara Indian & Nepaelse Restaurant,North Beach/Telegraph Hill
Halal Dastarkhan,Lower Nob Hill
The Halal Guys,Mission Bay
Kennedy’s Indian Curry House & Irish Pub,Tenderloin
Punjab Kabab House,Tenderloin
Naan Point,Russian Hill
North India Restaurant,Tenderloin
Chutney,Civic Center
Rasa Higher Taste,Russian Hill
New Burma,Financial District
Oasis Grill,Mission Bay
Z Zoul Cafe,SoMa
North India Restaurant,Chinatown
Late Night Cuisine,Tenderloin
MIXT,Financial District
Ararat Kebab & Gyros,Mission Bay
Nourish Cafe,Tenderloin
Curry Up Now,SoMa
Halal Wings Plus,Nob Hill
Naan Point,Union Square
Star India Restaurant,Civic Center
Golden Era Vegan Restaurant,Union Square
Spice Affairs Infused,Tenderloin
Ganesh,Fisherman's Wharf
Momo Dumplings,Mission Bay
Spice Nation,SoMa
Badri’s Biryani Bar,Financial District
